英単語,意味,発音記号
the,"《前述の名詞または文脈でそれと分かる名詞に付けて》『その』,あの,名の / 《唯一の事物に付けて》 / 《方角・自然現象に付けて》 / 《用具・楽器・特定の病気などに付けて》 / 《修飾吾[句]を伴う名詞に付けて》 / 《単数普通名詞に付けて》(1)《種族全体》…『というもの』 / 《複数名詞または集合名詞に付けて》 / 《単位》『…につき;…単位[で]』 / 《身体の一部に付けて,所有格に代わる》 / 《形容詞に付けて》 / 《固有名詞に付けて》 / 《強意用法に》『随一の』,典型的な / 《「the+比較級,the+比較級」の形で》『…すればするほどそれだけ』 / 《比較級の前に》(…につれて,のために)『それだけ』,ますます",ðə
of,"《所有・所属》…『の』,…のものである,…に属する・《材料・要素》…『でできた』,から成る・《部分》…『の』[『中の』] ・《数量・単位・種類を表す名詞に付いて》…の・《原因・動機》…『で』,のために(because of) ・《主格関係》…『の』,による,によって・《目的格関係》…『を』,の・《同格関係》…『という』・《関係・関連》…『についての』[『の』],の点で・《抽象名詞などと共に》…の[性質をもつ] ・《『It is』+『形』+『of』+『名』+『to』 doの形で,ofの後の名詞を意味上の主語として》・《分離》…『から』・《起原・出所》…『から』[『の』](out of) ・《『名』+『of』+『a』(『an』)+『名』の形で》…のような・《『名』+『of』+『mine』(『yours, his』など独立所有格)の形で》…の…・《時》(1)《副詞句を作って》…に《形容詞句を作って》…の・《時刻》《米》…前(to,《米》before)",əv
and,"《語・句・節を対等に結んで》…『と』…,…や…,および / 《数詞を結合して》…『足す』…,…に加えて / …『しかも』…,…して,同時に… / 《時間的に》『そして』,それから,すると(and then) / 《当然の帰結として》…『ので』,…だから(and so) / 《おもに話》《命令文などの後で》『そうすれば』,そうしたら / 《追加・強調して》それに,しかも / 《対照的な内容を導いて》ところが,しかし(but) / 《譲歩的に》それなのに,それでいながら / 《A and Bで一体の関係を表して》《単数扱い》 / 《同一語を反復して多数・継続などを表して》 / 《同一の複数名詞を結合して変化・種類などを表して》 / 《話》《「形容詞+and+形容詞」の形で前の形容詞が後に副詞的に働く》 / 《話》《「動詞come, goなど+and+動詞」の形でandとその後の動詞が不定詞の働きをして》 / 《「動詞+and+動詞」の形で後の動詞が現在分詞の意を表して》 / 《話》《文頭において前の質問・意見などに同意を示して》そうとも,そして(Yes!and) / 《話》《文頭に置いて驚き・疑念・非難などを表して》ほんとうに;…なのに",ənd
to,"《方向》(1)(到着の意を含めて)…『へ』,に,まで / 《状況の変化》…[のほう]へ;…に[なるまで],その結果…になる / 《適用範囲》(1)《動詞に伴って》『…に対して』,に,へ / (2)《形容詞[句]・[代]名倍に伴って》『…に対して』 / 《程度・範囲》『…[に至る]まで』 / 《時間の終り》『…まで』(till) / 《to one’s+『名』の形で》(…が)『…したことに[は]』 / 《比較・対比・割合》『…と比べて』,より,に対して / 《一致・適合》『…に合わせて』,に合って,に応じて / 《目的・意図》『…のために』 / 《運命・境遇》『…に』 / 《所属・関係》『…へ』,に[対して] / 《付加・付着・固執》『…に』 / 《対立・対向》…に[対して] / いつもの状態(位置)に / 停止(閉鎖)の状態に / 活動状態に(へ),仕事に 《名詞的用法》『…すること』 / 《形容詞的用法》『…するための,すべき』 / 《副詞的用法》『…するために』,して,するとは,すれば / 《独立用法》 / 《文全体を修飾する慣用語句》…すれば,してみると,…だが / 短縮文",tə
in,"《具体的な場所,位置》 / …『の中に』(『で』) / …『において』,…で / 《intoの代りに移動を表す動詞と共に》…『の中へ』 / (乗り物)『に乗って』 / …『の状態に』(『で』) / …『に従事して』,に属して / …『を身につけて』,に覆われて / 《『in』do『ing』の形で》…『するときに』,する際に(when) / 《時間》 / …『して』,…『が経過したあと』 / …『の間に』 / …『については』,…の点では / 《方法・手段・材料》…『で』 / 《人を目的語にして,性質・能力があることを示して》…の中に / …の目的で,のつもりで,として / 《比率割合》…のうちで,につき / 《過去分詞に伴って》…に[…されて] / 『中へ』(に) / 『在宅して』,帰って / (乗り物などが)『到着して』,(時期・季節が)来て / 出回って,流行して / 《俗》流行の,当世風の / 《話》特定の人々にのみ理解される",ín
that,"《人・物・事・時などを指して,あるいは述べたこと全体を受けて》『あれ,それ,』あの(その)こと(人,物,時) / 《前に述べた語・句・節を繰り返すことを避けて》(…の)『それ』 / 《後に述べる語・句・節を指して》 / 《this と対照させて二つのもののうち遠いほうを指して》『あれ』,そちら,あちら;(this の後者に対して)『前者』 / 《関係代名詞 which の先行詞に用いて》(…するところの)『もの,こと』 / (…する,…した)『ところの』 / 《it is(was)…that…の強調構文に用いられて》…『のは』 / 《関係副詞的に用いて》…『ところの』 (when,at(in)which) / 『あの,その』 / 《this と対照的・相関的に用い,二つのもののうち遠いほうを指して》『あの』,その,あっちの / 《関係詞の先行詞の前に付いて》(…する)『あの』 / 《名詞節を導いて》『…ということ』 / 《主語節を導いて》 / 《補語節を導いて》 / 《動詞・形容詞・前置詞の目的語節を導いて》 / 《同格節を導いて》 / 《it is(was)…that…の強調構文に用いられて》『…のは』… / 《副詞節を導いて》 / 《原因・理由・判断の根拠を表す節》『…だから』,とは,の故に / 《目的・意図を表す節》『…するように』,するために / 《so(such)と相関して結果を表す節》(とても)『…なので』,…の結果 / 《範囲・制限を表す節》『…する限りでは』(so far as) / 《願望・感情を表す節を導いて》《文》『…であれば[よいのだか]』,…とは[驚いた] / 『それほど』,それだけ(so)",ðət
was,beの１人称または３人称単数の過去形,wʌ’z
his,《heの所有格》『彼の』 / 《heの所有代名詞》『彼のもの』 / 《of hisの形で》彼の,híz
he,"彼は,彼が / 《指す人の性別が分からないか,または分かる必要のない場合に》その人,あの人,自分 / 《he who(that)の形で》《文》…するものはだれでも / (動物の)おす(雄) 鬼ごっこ(tag,tick,tig)",hí:
it,"《すでに述べられた物・事または幼児,動物などを指して》『それは』(『を』),そのものは(を),そのことは(を) / 《その場の状況で相手に何であるか分かるような物・事または人を指して》『それは』(『を』),そのことは(を) / 《天候・時間・距離・事情・状態などを指して》 / 《It seems(happens, appears… )thatなどの形で》 / 《形式主語として》 / 《形式目的語として》 / 《It is … that(who, which)の形で…を強調して》 / 《ある種の動詞・前置詞に添える形式上の目的語として》 / 〈C〉(遊戯の)鬼 / 〈U〉《話》理想,第一人者 / 〈U〉《話》性的魅力",ít
